date_mutation,commune,type_local,surface_reelle_bati,valeur_fonciere,prix_m2
21/03/2023,TOULON,Appartement,113.0,255000.0,2256.64
20/03/2023,TOULON,Appartement,49.0,142000.0,2897.96
27/03/2023,TOULON,Appartement,72.0,154000.0,2138.89
24/03/2023,TOULON,Maison,180.0,163900.0,910.56
20/03/2023,TOULON,Appartement,90.0,241500.0,2683.33
23/03/2023,TOULON,Appartement,60.0,98400.0,1640.0
07/04/2023,TOULON,Appartement,53.0,99000.0,1867.92
21/03/2023,TOULON,Appartement,51.0,108400.0,2125.49
31/03/2023,TOULON,Appartement,85.0,300000.0,3529.41
06/03/2023,TOULON,Maison,70.0,232000.0,3314.29
06/04/2023,TOULON,Appartement,52.0,128000.0,2461.54
27/03/2023,TOULON,Appartement,78.0,215000.0,2756.41
24/03/2023,TOULON,Appartement,28.0,143055.0,5109.11
24/03/2023,TOULON,Appartement,21.0,143055.0,6812.14
30/03/2023,TOULON,Appartement,68.0,143000.0,2102.94
10/03/2023,TOULON,Appartement,51.0,255000.0,5000.0
08/03/2023,TOULON,Appartement,30.0,79000.0,2633.33
07/03/2023,TOULON,Appartement,25.0,60000.0,2400.0
30/03/2023,TOULON,Maison,59.0,480275.0,8140.25
31/03/2023,TOULON,Appartement,20.0,65000.0,3250.0
04/04/2023,TOULON,Appartement,30.0,75000.0,2500.0
30/03/2023,TOULON,Appartement,31.0,129000.0,4161.29
14/03/2023,TOULON,Appartement,33.0,97000.0,2939.39
21/03/2023,TOULON,Appartement,112.0,220000.0,1964.29
17/03/2023,TOULON,Appartement,43.0,97000.0,2255.81
13/03/2023,TOULON,Appartement,104.0,185000.0,1778.85
17/03/2023,TOULON,Appartement,40.0,130000.0,3250.0
20/03/2023,TOULON,Maison,109.0,343100.0,3147.71
20/03/2023,TOULON,Maison,78.0,328350.0,4209.62
03/04/2023,TOULON,Appartement,28.0,320000.0,11428.57
03/04/2023,TOULON,Appartement,23.0,320000.0,13913.04
03/04/2023,TOULON,Appartement,28.0,320000.0,11428.57
03/04/2023,TOULON,Appartement,28.0,320000.0,11428.57
03/04/2023,TOULON,Appartement,28.0,320000.0,11428.57
13/03/2023,TOULON,Appartement,31.0,55000.0,1774.19
11/04/2023,TOULON,Appartement,44.0,126000.0,2863.64
07/04/2023,TOULON,Appartement,34.0,54150.0,1592.65
30/03/2023,TOULON,Appartement,71.0,145000.0,2042.25
21/03/2023,TOULON,Appartement,69.0,160000.0,2318.84
24/03/2023,TOULON,Appartement,71.0,175000.0,2464.79
29/03/2023,TOULON,Appartement,59.0,115000.0,1949.15
27/03/2023,TOULON,Appartement,44.0,128900.0,2929.55
03/04/2023,TOULON,Appartement,18.0,57500.0,3194.44
30/03/2023,TOULON,Appartement,73.0,199000.0,2726.03
28/03/2023,TOULON,Appartement,55.0,96000.0,1745.45
04/04/2023,TOULON,Appartement,71.0,185000.0,2605.63
27/03/2023,TOULON,Appartement,62.0,118000.0,1903.23
07/04/2023,TOULON,Maison,73.0,274070.0,3754.38
27/03/2023,TOULON,Maison,80.0,399000.0,4987.5
04/04/2023,TOULON,Appartement,58.0,149000.0,2568.97
06/04/2023,TOULON,Appartement,57.0,126375.0,2217.11
30/03/2023,TOULON,Appartement,90.0,75000.0,833.33
06/04/2023,TOULON,Appartement,27.0,73000.0,2703.7
11/04/2023,TOULON,Appartement,79.0,140000.0,1772.15
11/04/2023,TOULON,Appartement,10.0,55000.0,5500.0
12/04/2023,TOULON,Appartement,82.0,162300.0,1979.27
04/04/2023,TOULON,Appartement,61.0,122000.0,2000.0
30/03/2023,TOULON,Appartement,80.0,230000.0,2875.0
23/03/2023,TOULON,Appartement,47.0,87000.0,1851.06
13/03/2023,TOULON,Appartement,42.0,250000.0,5952.38
07/04/2023,TOULON,Appartement,22.0,68000.0,3090.91
07/04/2023,TOULON,Appartement,82.0,129000.0,1573.17
06/04/2023,TOULON,Appartement,14.0,49800.0,3557.14
12/04/2023,TOULON,Appartement,113.0,282000.0,2495.58
11/04/2023,TOULON,Appartement,84.0,163500.0,1946.43
14/04/2023,TOULON,Maison,47.0,234680.0,4993.19
24/03/2023,TOULON,Appartement,55.0,195000.0,3545.45
13/04/2023,TOULON,Appartement,15.0,11000.0,733.33
06/04/2023,TOULON,Maison,50.0,320000.0,6400.0
06/04/2023,TOULON,Maison,77.0,376000.0,4883.12
21/03/2023,TOULON,Appartement,67.0,138000.0,2059.7
05/04/2023,TOULON,Appartement,60.0,198000.0,3300.0
06/04/2023,TOULON,Appartement,55.0,114000.0,2072.73
03/04/2023,TOULON,Appartement,68.0,150000.0,2205.88
17/03/2023,TOULON,Appartement,45.0,105000.0,2333.33
22/03/2023,TOULON,Appartement,72.0,142000.0,1972.22
22/03/2023,TOULON,Appartement,10.0,140000.0,14000.0
11/04/2023,TOULON,Appartement,140.0,790000.0,5642.86
06/04/2023,TOULON,Appartement,90.0,173320.0,1925.78
31/03/2023,TOULON,Appartement,49.0,160000.0,3265.31
31/03/2023,TOULON,Appartement,69.0,305500.0,4427.54
23/03/2023,TOULON,Appartement,62.0,123000.0,1983.87
11/04/2023,TOULON,Appartement,99.0,208050.0,2101.52
17/04/2023,TOULON,Appartement,20.0,50000.0,2500.0
24/03/2023,TOULON,Maison,58.0,290000.0,5000.0
07/04/2023,TOULON,Appartement,65.0,165000.0,2538.46
11/04/2023,TOULON,Appartement,55.0,117000.0,2127.27
13/04/2023,TOULON,Appartement,58.0,122000.0,2103.45
17/04/2023,TOULON,Appartement,49.0,105000.0,2142.86
06/04/2023,TOULON,Appartement,44.0,75000.0,1704.55
04/04/2023,TOULON,Maison,80.0,622500.0,7781.25
04/04/2023,TOULON,Maison,41.0,622500.0,15182.93
05/04/2023,TOULON,Appartement,49.0,105000.0,2142.86
17/04/2023,TOULON,Appartement,21.0,63191.0,3009.1
07/04/2023,TOULON,Maison,197.0,150000.0,761.42
06/04/2023,TOULON,Appartement,19.0,40000.0,2105.26
31/03/2023,TOULON,Appartement,18.0,86568.18,4809.34
